date,steps,sleep_hours,mood
25/03/2022,10010,10.9,sad
23/08/2022,10012,6,stressed
14/06/2022,10048,9,happy
27/10/2022,10183,8,tired
16/07/2022,10193,8,energetic
8/11/2022,10243,5.1,tired
17/03/2022,10293,10.3,sad
23/01/2022,10368,6.5,energetic
9/2/2022,10450,11.4,stressed
6/6/2022,10499,9.9,sad
31/05/2022,10549,10.9,sad
1/10/2022,10570,8.5,sad
11/1/2022,10598,7,energetic
12/1/2022,10678,6.5,tired
14/05/2022,10720,6,tired
11/12/2022,10748,6.7,tired
26/03/2022,10776,6,sad
21/06/2022,10859,10.4,stressed
12/12/2022,10936,7,sad
16/07/2022,10941,8.5,happy
25/12/2022,10944,7,stressed
22/04/2022,10948,6,energetic
31/10/2022,10965,6.5,sad
16/06/2022,11000,8,energetic
7/9/2022,11041,9.6,tired
14/12/2022,11041,6.5,happy
14/12/2022,11079,6.5,tired
23/03/2022,11136,8,tired
22/12/2022,11151,11.9,happy
12/12/2022,11182,9,happy
4/3/2022,11258,5.5,tired
6/2/2022,11362,9,tired
12/3/2022,11381,6.5,stressed
13/02/2022,11390,10.1,happy
19/01/2022,11435,4.4,tired
24/01/2022,11458,6.5,tired
23/10/2022,11461,6,stressed
15/05/2022,11481,7,energetic
2/11/2022,11504,10.3,tired
30/10/2022,11615,7.8,stressed
11/8/2022,11627,3.9,happy
16/06/2022,11670,9.8,energetic
2/3/2022,11671,4.9,happy
23/02/2022,11675,6,sad
23/01/2022,11722,6,sad
25/10/2022,11774,8,happy
14/05/2022,11795,8,stressed
25/12/2022,11801,6.5,sad
29/03/2022,11804,7.5,happy
21/02/2022,11806,8,tired
29/05/2022,11824,6,energetic
23/07/2022,11848,7,stressed
26/01/2022,11850,6.5,stressed
23/02/2022,11862,6.5,energetic
24/07/2022,11984,8,sad
13/01/2022,11990,9.6,happy
18/04/2022,12049,6,sad
30/04/2022,12084,8,sad
16/12/2022,12122,7,sad
9/3/2022,12150,6.7,tired
27/01/2022,12210,7,stressed
8/1/2022,12247,9,happy
3/12/2022,12335,9,sad
14/11/2022,12335,4.8,happy
24/07/2022,12431,3.1,energetic
25/04/2022,12441,8,energetic
22/01/2022,12472,9.3,energetic
30/07/2022,12523,4,energetic
